province;red;green;blue;x;x
1;9;24;255;Yiqvegog Sea;x
2;11;16;255;Lazrex Sea;x
3;14;15;254;Vuhi Sea;x
4;31;13;254;Zewgevxa Sea;x
5;3;8;254;Papezpici Sea;x
6;20;4;254;Goklowi Sea;x
7;19;3;254;Mov Sea;x
8;22;30;253;Baxse Sea;x
9;11;1;253;Qikuqofu Sea;x
10;23;29;252;Pejkazo Sea;x
11;19;17;252;Gohim Sea;x
12;8;10;252;Lakuxtiwwa Sea;x
13;14;4;252;Foracoqna Sea;x
14;28;0;252;Bekec Sea;x
15;2;0;252;Qogtoho Sea;x
16;9;26;251;Havxef Sea;x
17;0;26;251;Dejarma Sea;x
18;30;23;251;Gukfo Sea;x
19;2;23;251;Hojnefluw Sea;x
20;23;20;251;Sikvelib Sea;x
21;31;11;251;Huguro Sea;x
22;26;4;251;Guvsuhxan Sea;x
23;27;1;251;Yekqe Sea;x
24;31;14;250;Torojtih Sea;x
25;2;6;250;Xastiyen Sea;x
26;2;3;250;Rakbakeq Sea;x
27;1;3;250;Dextazejvu Sea;x
28;15;1;250;Bupedakdoh Sea;x
29;25;0;250;Favoh Sea;x
30;1;0;250;Gusaz Sea;x
31;17;26;249;Qejaqehu Sea;x
32;12;24;249;Siqof Sea;x
33;1;21;249;Xehame Sea;x
34;18;17;249;Xumodjuc Sea;x
35;9;7;249;Ridemdobxex Sea;x
36;4;4;249;Paynawge Sea;x
37;29;2;249;Gegifo Sea;x
38;30;31;248;Xoxrubgubpusru Sea;x
39;3;24;248;Cedkuhpa Sea;x
40;13;1;248;Xarejtahi Sea;x
41;12;27;247;Peblosbu Sea;x
42;26;16;247;Bepzacwuhjickoc Sea;x
43;6;15;247;Hudtaviya Sea;x
44;0;13;247;Doweyi Sea;x
45;7;8;247;Zevadom Sea;x
46;13;0;247;Cebriqa Sea;x
47;13;19;246;Fadavo Sea;x
48;3;13;246;Be Sea;x
49;31;8;246;Doto Sea;x
50;14;5;246;Ceyriq Sea;x
51;3;3;246;Figeto Sea;x
52;7;0;246;Deyvun Sea;x
53;22;27;245;Qozov Sea;x
54;27;15;245;Yambena Sea;x
55;25;11;245;Curuvja Sea;x
56;14;4;245;Nezosxequ Sea;x
57;6;3;245;Ruzoc Sea;x
58;12;17;244;Zojasgud Sea;x
59;6;10;244;Lovzuxi Sea;x
60;31;2;244;Rigolaqju Sea;x
61;2;25;243;Dehap Sea;x
62;25;24;243;Mulluyceten Sea;x
63;24;23;243;Noyuqzod Sea;x
64;27;18;243;Qiljopa Sea;x
65;9;18;243;Githafan Sea;x
66;30;20;242;Wixkenjufef Sea;x
67;20;19;242;Dobesurgo Sea;x
68;25;15;242;Yirave Sea;x
69;13;15;242;Ru Sea;x
70;9;11;242;Tehyilot Sea;x
71;24;4;242;Xiykula Sea;x
72;22;1;242;Rufafjoxjotwa Sea;x
73;8;31;241;Mesciyfu Sea;x
74;20;26;241;Kere Sea;x
75;18;10;241;Giczo Sea;x
76;1;8;241;Wawwe Sea;x
77;20;29;240;Viwkaxtamyep Sea;x
78;12;22;240;Pa Sea;x
79;8;15;240;Millowkemlu Sea;x
80;12;12;240;Favok Sea;x
81;12;7;240;Dewedokagaz Sea;x
82;2;5;240;Yaxi Sea;x
83;7;3;240;Hamtumu Sea;x
84;3;0;240;Yugmab Sea;x
85;21;26;239;Yiq Sea;x
86;4;21;239;Nawvu Sea;x
87;29;14;239;Xoyimuvpo Sea;x
88;15;12;239;Lojipgonne Sea;x
89;8;11;239;Tikob Sea;x
90;19;7;239;Pajewas Sea;x
91;25;5;239;Nujom Sea;x
92;29;2;239;Zuhoju Sea;x
93;28;1;239;Gowic Sea;x
94;30;26;238;Lezgosukfi Sea;x
95;19;26;238;Robmaklew Sea;x
96;1;12;238;Gilpihay Sea;x
97;12;9;238;Xaxuqholtam Sea;x
98;30;6;238;Po Sea;x
99;6;22;237;Zuxzubifo Sea;x
100;28;14;237;Biniraka Sea;x
101;12;14;237;Pemlivjubnos Sea;x
102;8;12;237;Moju Sea;x
103;2;9;237;Lu Sea;x
104;4;3;237;Rinyasupxaq Sea;x
105;6;31;236;Sotkiszo Sea;x
106;23;27;236;Hawjuze Sea;x
107;20;15;236;Nutudut Sea;x
108;9;15;236;Rogdirif Sea;x
109;25;13;236;Lo Sea;x
110;29;27;235;Deceliverqep Sea;x
111;24;25;235;Jaxecneh Sea;x
112;30;16;235;Repoliyit Sea;x
113;22;30;234;Gubawtotu Sea;x
114;31;27;234;Wogzaddipij Sea;x
115;17;26;234;Dasyihgencur Sea;x
116;5;17;234;Fuztowtevre Sea;x
117;19;15;234;Kobtez Sea;x
118;25;9;234;Gacuvqo Sea;x
119;7;4;234;Mapeq Sea;x
120;26;18;233;Pinaqhuxrabgiq Sea;x
121;31;14;233;Womagika Sea;x
122;28;13;233;Yifzukba Sea;x
123;28;12;233;Boyzupesagte Sea;x
124;31;9;233;Siyre Sea;x
125;6;4;233;Rucu Sea;x
126;19;28;232;Ya Sea;x
127;0;23;232;Maqzarfepmizsox Sea;x
128;31;17;232;Weh Sea;x
129;3;8;232;Togxaju Sea;x
130;30;28;231;Lofagano Sea;x
131;23;27;231;Nawqesxo Sea;x
132;21;23;231;Zepdedpokef Sea;x
133;19;23;231;Fuha Sea;x
134;19;19;231;Nuqic Sea;x
135;14;19;231;Rokjiz Sea;x
136;0;13;231;Bubqekmevdu Sea;x
137;8;5;231;Zojo Sea;x
138;21;31;230;Pezravxak Sea;x
139;21;23;230;Ceje Sea;x
140;20;20;230;Beraki Sea;x
141;31;17;230;Tajceknofi Sea;x
142;12;13;230;Hajud Sea;x
143;31;12;230;Fezgu Sea;x
144;31;5;230;Quyakhabhi Sea;x
145;16;5;230;Guyihkuqra Sea;x
146;4;22;229;Zipi Sea;x
147;15;15;229;Pasyijzir Sea;x
148;25;2;229;Cecjejqehi Sea;x
149;11;31;228;Hutito Sea;x
150;8;27;228;Nowolla Sea;x
151;21;21;228;Zehozso Sea;x
152;13;15;228;Covjicuf Sea;x
153;31;12;228;Woqditkonaldiy Sea;x
154;17;10;228;Birtonedu Sea;x
155;18;9;228;Teqviv Sea;x
156;23;8;228;Qok Sea;x
157;29;0;228;Kugqogyuttozdu Sea;x
158;22;22;227;Soyimwajpe Sea;x
159;1;8;227;Mokasfo Sea;x
160;19;1;227;Sofwosqoja Sea;x
161;27;0;227;Hegaz Sea;x
162;29;31;226;Yoyubapvu Sea;x
163;22;25;226;Vodjassu Sea;x
164;14;22;226;Bahvapmojfo Sea;x
165;9;19;226;Xaxkimkixmu Sea;x
166;28;6;226;Putatislov Sea;x
167;21;6;226;Maxu Sea;x
168;8;31;225;Midil Sea;x
169;23;26;225;Fiyrejmo Sea;x
170;2;26;225;Toraxfofja Sea;x
171;21;18;225;Yondubxe Sea;x
172;25;14;225;Gicsa Sea;x
173;21;13;225;Witopa Sea;x
174;8;6;225;Lefmolotvojmot Sea;x
175;10;29;224;Wizqa Sea;x
176;15;23;224;Sayete Sea;x
177;30;22;224;Tehnog Sea;x
178;12;16;224;Disewap Sea;x
179;9;11;224;Jejenopuznoz Sea;x
180;17;8;224;Fofaq Sea;x
181;18;2;224;Kusiwud Sea;x
182;17;24;223;Jazru Sea;x
183;10;20;223;Bo Sea;x
184;17;19;223;Tozya Sea;x
185;18;10;223;Kizdukzuxked Sea;x
186;9;10;223;Jixnud Sea;x
187;10;29;222;Pufadpuvvi Sea;x
188;12;28;222;Gi Sea;x
189;28;21;222;Qujcaxqe Sea;x
190;16;20;222;Tuxe Sea;x
191;5;8;222;Yegimtimhok Sea;x
192;8;4;222;Fakcafkiyi Sea;x
193;5;4;222;Woguq Sea;x
194;26;22;221;Yaheco Sea;x
195;14;22;221;Mapxi Sea;x
196;29;18;221;Sehobsi Sea;x
197;20;7;221;Qeporovo Sea;x
198;31;1;221;Nifbuta Sea;x
199;12;27;220;Jowuhawu Sea;x
200;30;26;220;Jaroyyo Sea;x
201;31;20;220;Gelmuzxot Sea;x
202;31;17;220;Leywekcife Sea;x
203;13;17;220;Zica Sea;x
204;12;5;220;Cilnedcogi Sea;x
